Персонаж;PS;SW;WL;CR;PO;LD;PR;AM;BR;AL;ST;HL;AG;DL;CU;RS;LO;IN;DS;SG;DP;CH;RV;CE;ED;RB;RK;FG;IF;AD
Кейтілін Старк;17;9;34;14;36;21;34;20;10;34;34;42;32;25;30;26;35;11;24;27;34;26;10;10;33;14;7;34;31;23
Робб Старк;31;33;36;16;29;44;35;28;30;35;37;23;13;23;27;24;36;37;25;28;23;36;25;27;25;20;38;32;35;17
Теон Грейджой;23;26;10;29;11;14;10;31;24;12;8;16;16;5;11;4;8;15;3;8;13;13;19;22;7;38;40;10;8;6
Яра Грейджой;34;35;19;24;26;37;26;30;36;27;16;30;21;24;28;22;29;38;29;25;24;29;27;30;19;27;36;23;24;26
Оберин Мартелл;37;44;27;22;35;27;23;23;32;23;27;32;24;17;32;17;17;26;12;31;41;43;22;38;30;25;43;21;30;40
Маргері Тірелл;18;5;43;23;46;31;19;44;13;22;38;43;11;36;45;35;14;35;34;43;47;44;4;7;40;40;20;17;44;42
Тайвін Ланністер;22;21;45;37;47;47;21;43;25;18;43;5;43;47;46;43;20;43;45;47;38;35;14;26;47;34;28;13;47;38
Оленна Тірелл;7;1;41;27;44;35;20;27;8;20;41;9;47;42;44;37;16;27;32;45;46;46;7;18;46;32;11;18;45;46
Рамсі Болтон;36;27;22;45;21;19;1;33;28;1;19;17;18;10;25;8;1;36;7;19;11;9;29;24;21;44;35;1;18;13
Петір Бейліш;16;16;32;43;45;29;4;47;20;5;32;19;25;44;47;46;3;39;40;44;45;38;23;14;45;46;23;4;41;47
Бронн;35;32;16;30;20;17;11;26;42;11;14;12;23;18;22;18;9;34;16;17;21;17;40;42;18;41;42;9;13;33
Давос Сіворт;20;19;23;2;34;26;47;10;22;45;20;8;36;33;26;32;46;12;31;30;33;30;21;21;27;5;10;43;25;31
Роберт Баратеон;46;39;47;32;17;30;14;24;23;14;47;20;38;3;13;3;11;13;2;12;26;39;3;40;12;35;44;12;32;7
Станніс Баратеон;29;28;40;21;33;40;33;42;33;30;40;7;40;38;36;40;34;44;39;39;15;15;31;33;35;24;30;29;39;14
Мелісандра;14;7;30;35;32;16;17;34;18;17;30;46;46;35;38;36;15;32;30;29;32;22;30;19;38;31;14;11;29;43
Джора Мормонт;38;37;11;13;23;28;39;17;40;36;10;14;37;27;18;30;38;28;33;21;18;20;45;39;17;10;27;37;15;28
Семвелл Тарлі;4;14;7;3;16;8;40;5;16;42;6;18;5;31;20;25;40;4;17;20;12;7;6;8;39;1;4;44;7;24
Джендрі;44;23;12;15;8;12;31;12;27;32;11;15;12;13;6;15;33;9;19;7;10;12;35;20;6;13;16;35;6;8
Сірий Черв’як;33;41;15;17;10;36;38;13;44;37;12;1;14;29;8;33;39;29;47;15;8;16;38;31;14;8;17;38;14;10
Міссандея;8;8;17;4;38;10;41;11;17;43;15;37;7;45;35;45;41;5;42;37;39;19;8;3;41;7;3;41;19;39
Кхал Дрого;47;46;35;36;13;43;22;38;43;19;36;44;19;14;12;16;19;45;20;13;19;41;47;43;9;29;46;15;23;20
Дааріо Нахаріс;41;42;14;33;15;22;15;29;38;15;13;35;20;12;15;12;12;33;14;14;27;34;28;34;13;36;45;14;12;29
Джоффрі Баратеон;15;15;46;46;12;4;2;35;4;2;45;31;1;1;9;1;2;3;1;3;7;3;1;6;8;43;29;2;17;1
Томмен Баратеон;11;10;42;9;7;5;30;7;6;31;42;34;2;6;4;7;31;1;9;4;9;8;2;2;10;11;5;36;11;3
Лорас Тірелл;28;43;26;20;22;20;27;22;37;26;26;28;4;20;19;21;25;18;22;16;30;32;20;29;15;22;41;25;20;18
Баррістан Селмі;27;47;21;1;19;33;46;8;47;47;18;6;45;37;17;39;45;23;37;26;17;25;41;47;29;4;26;47;21;36
Джеор Мормонт;30;38;24;8;28;41;43;6;39;40;21;10;44;39;21;41;44;20;41;33;16;23;33;45;28;3;15;42;27;22
Ігрітт;26;25;5;25;5;13;25;15;29;28;2;41;17;7;5;6;24;8;6;5;14;14;26;23;4;16;31;31;3;12
Джиллі;6;6;2;6;2;6;36;2;11;39;1;36;9;9;2;10;37;2;15;2;5;6;15;5;2;2;2;46;1;5
Верховний Горобець;10;3;33;31;42;42;28;36;15;24;33;4;41;40;39;42;32;40;43;42;44;45;24;11;32;23;9;19;42;37
Квіберн;9;2;28;40;39;11;8;37;9;8;28;11;42;46;40;47;7;14;44;38;28;11;9;12;42;42;6;7;26;30
Елларія Сенд;13;13;20;38;31;23;12;39;14;10;17;45;28;16;34;13;10;25;10;23;35;27;5;16;20;39;25;8;22;16
Еурон Грейджой;43;36;31;47;27;34;5;46;35;4;31;29;30;11;31;9;4;46;8;24;36;42;44;35;23;45;47;3;33;41
